psraid,comp,cregion,rep,msa,fips,int_date,tz,usr,usr1,state,area,areaexch,q1,q2,q3a,q3b,q3c,q3d,q3e,q3f,q5,q6a,q6b,q7,q8,q9,q12,q12.1,q13,q14,q15,q16,datenew,activ01,activ17,activ33,activ54,activ58,activ71,activ73,activ82,activ87,q17,q19a,q19b,q19c,q19d,q19e,mar,mar2,mar3,mar4,margroup,date01a,date01b,date01c,date02_1,date02_2,date02_3,date02_4,date02_5,date02_6,date02_7,date02_8,date02_9,date02_0,date03,date04a,date04b,date05a,date05b,date05c,date05d,date05e,date05f,date06a,date06b,date06c,date06d,date06e,date06f,date06g,date06h,date07,date08,date09,date10,date11,date12,date12cd,date13,date13cd,date14,date15,date16,date17,sex,age,par,d2b,d2c,d2d,d2e,d2f,d2g,educ,empl,stud,hisp,race,polaf,polid,d6,d7,d8,d9,modem,bbw,inc,date02os,date12os,date13os,date14os,religos,modemos,recage2,density3,receduc,racethn,i_user,onldat,dow,e_user,homework,often,usertype,recq6ab,d2brec,child11,d2crec,child17,childol,online,long,olhome,olwork,student,denwt,file
1,1,1,160,35620,34003,100505,e,S,2,34,201,201384,2,2,1,1,3,1,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,13, ,2,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,47,2, , , , , , ,5,1,3,1,1,2,3,2,2, , , , ,5, , , , , , ,2,5,3,3,0,99,3,0,9,98,98,9, ,99, ,99,9, , , , ,3,3.10416666666667,1
2,1,1,147,35620,34003,92205,e,S,2,34,201,201445,2,1,2,1,3,3,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,9,4,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,79,2, , , , , , ,4,3,3,2,1,9,3,5,2, , , , ,9, , , , , , ,4,5,2,1,0,99,4,0,9,98,98,9, ,99, ,99,9, , , , ,3,2.1875,1
3,1,1,164,35620,34003,100605,e,S,2,34,201,201567,2,3,2,2,1,2,2,2,1,1,1,1,1,1,5, , ,1, ,1,2,1,3, ,2,3,3,3,3,3,2,1,2,8,8,8,1, ,22, ,2,2, , , , , , , , , , , , , , , ,1,1,2,1,1,1,2,2, , , , , , , , ,3, ,2, , ,2, , , , , ,2,47,1,1,1,2, ,1, ,7,4,3,2,1,3,2,4,5, , ,3,1,8, , , , , , ,2,5,4,1,1,2,4,1,3,1,4,1,2,2,2,1,1,3,5,0,0,3,1.8125,1
4,1,1,158,35620,34017,100705,e,S,2,34,201,201868,2,2,1,1,1,2,2,1,1,1,1,2, , ,5, ,1,2,1,1,2,2,3, ,3,3,3,3,3,3,2,8,3,3,8,8,6,1,5, ,1,2, , , , , , , , , , , , , , , ,8,8,8,8,1,2,2,2,2,2,2,2,2,2,2, ,3, ,2, , ,1, , , , , ,1,30,2, , , , , , ,3,1,3,1,6,4,9,2,2, , ,1,1,5, , , , , , ,2,5,2,3,1,2,5,1,3,1,4,1, ,99, ,99,9, ,5,1,1,3,4.35,1
5,1,1,128,35620,34003,92205,e,S,2,34,201,201944,2,2,9,1,2,1,4,1,1,1,1,1,1,2,5, , ,3,2, , ,1,3,3,3,3,3,1,3,3,1,2,8,8,2,8,1, ,30, ,2,1,1,1, , , , , , , , , , , , , ,1,2,8,1,1,1,2,2, , , , , , , , ,3, ,2, , ,3, , , , , ,2,53,2, , , , , , ,3,2,3,1,1,2,1,5,2, , ,1, ,9, , , , , , ,3,5,2,3,1,2,4,1,1,3,3,1, ,99, ,99,9,1,5,0,2,3,4.35,1
6,1,3,134,47900,11001,100805,e,U,1,11,202,202250,2,1,2,1,2,3,2,1,1,1,1,1,1,2,6, , ,2,2, ,1,1,1, ,3,3,3,1,3,1,2,2,2,2,3,4,6,2, ,2,4,2, , ,99, , , , , , , , , ,1,2,2,1,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , , ,2,22,2, , , , , , ,6,6, ,1,2,2,3,2,1, ,1,3, ,6, , , , , , ,1,5,4,3,1,1,6,1,1,2,4,1, ,99, ,99,9,1,6,0,2,1,4.35,1
7,1,3,153,47900,11001,100405,e,U,1,11,202,202363,2,2,4,1,1,1,3,1,1,1,1,1,1,2,10, , ,1,2, ,1,1,3, ,1,3,3,2,2,3,2,2,2,1,3,4,6,2, ,1,3,1,1,1,7,1, , , , , , , , ,2,1,2,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2, , , , , , , , , ,1,1,20,1,36,2, , , , , , ,6,4,3,2,1,3,2,4,3, , ,3, ,5, , , , , , ,2,5,4,1,1,1,2,1,1,1,4,1, ,99, ,99,9,1,6,0,2,3,2.4375,1
8,1,1,69,14860,9001,92005,e,S,2,9,203,203227,2,1,3,1,4,2,3,1,1,1,1,1,1,2,99, , ,1,2, , ,1,3,3,3,3,3,2,3,3,2,1,8,1,8,8,1, ,23, ,2,1,1,2, , , , , , , , , , , , , ,1,2,2,2,2,1,2,2, , , , , , , , ,3, ,2, , ,4,98, , , , ,2,51,1,1,1,1, ,1, ,7,2,3,2,1,2,2,4,2, , ,3, ,8, , ,was a patient of yours, , , ,3,4,4,1,1,2,2,1,1,1,9,1,2,1,2,1,1,1,9,0,2,3,1.625,1
9,1,1,146,0,9005,92205,e,R,3,9,203,203266,2,2,1,1,1,4,9,3,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,58,2, , , , , , ,3,3,3,2,1,2,2,2,2, , , , ,4, , , , , , ,3,2,2,1,0,99,4,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.85416666666667,1
10,1,1,35,14860,9001,92405,e,S,2,9,203,203268,2,2,2,1,2,9,3,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,41, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,63,2, , , , , , ,3,2,3,2,1,3,3,3,2, , , , ,3, , , , , , ,3,4,2,1,0,99,6,0,9,98,98,9, ,99, ,99,9, , , , ,3,2.33333333333333,1
